날짜,서울,부산,대구,인천,광주,대전,울산,세종,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2021-08-11,526,132,39,114,20,51,54,11,575,42,75,85,24,27,63,110,23
2021-08-10,660,126,66,112,20,43,48,8,666,19,56,86,31,18,67,141,28
2021-08-09,360,105,80,66,15,51,51,4,419,22,47,66,31,26,59,110,12
2021-08-08,414,123,86,65,19,42,25,1,407,24,39,68,21,14,30,88,11
2021-08-07,450,147,63,75,32,33,58,7,462,25,55,86,20,20,56,118,5
2021-08-06,503,146,68,90,18,57,21,18,514,33,43,54,20,20,49,131,13
2021-08-05,464,107,84,103,14,50,24,20,461,26,41,53,34,24,56,98,16
2021-08-04,466,112,121,90,17,70,13,15,486,31,45,71,19,20,60,82,24
2021-08-03,486,111,75,83,16,59,15,8,487,22,45,55,33,15,48,114,23
2021-08-02,311,69,37,48,18,78,8,7,360,25,39,51,16,4,25,72,21
2021-08-01,364,72,26,62,17,64,13,3,337,25,26,38,13,6,31,84,12
2021-07-31,473,58,23,89,14,69,20,9,406,44,17,46,14,9,28,84,20
2021-07-30,476,72,46,96,22,86,17,12,395,39,19,63,14,13,19,99,26
2021-07-29,488,78,62,119,25,85,18,4,524,20,37,37,23,19,37,99,18
2021-07-28,514,82,56,96,39,69,14,5,469,47,30,47,31,20,22,90,24
2021-07-27,573,102,55,102,27,75,18,11,556,74,40,31,23,20,33,98,23
2021-07-26,351,66,69,65,23,71,5,6,373,61,13,38,32,15,25,88,17
2021-07-25,341,89,60,71,18,71,3,5,350,29,31,65,24,28,22,78,12
2021-07-24,489,108,69,88,13,54,9,9,320,25,41,47,7,16,28,119,14
2021-07-23,465,116,52,84,9,68,19,6,465,46,31,39,42,20,21,112,15
2021-07-22,520,116,60,97,9,67,22,8,415,62,35,28,10,23,16,93,29
2021-07-21,499,104,38,130,11,81,25,10,373,47,28,39,4,18,29,91,24
2021-07-20,604,102,36,128,23,73,18,6,465,54,15,49,19,21,25,89,34
2021-07-19,394,49,30,71,25,73,9,13,382,42,44,30,15,9,19,57,8
2021-07-18,419,65,33,67,14,83,14,8,340,27,4,33,10,16,19,74,11
2021-07-17,523,70,42,83,23,45,12,5,373,52,29,40,5,11,15,99,11
